Term,Primary,Secondary
Persistent,-,-
Persuasive,E,O
Phony,E,O
Plain,E,-
Playful,C,E
Pleasant,A,-
Pleased,N,A
Pleasing,A,E
Polite,C,A
Poor,E,-
Popular,E,N
Positive,N,-
Possessive,A,-
Powerful,E,N
Practical,C,-
Predictable,C,-
Prejudiced,-,-
Preoccupied,N,-
Presentable,C,-
Pretty,E,-
Private,E,-
Procrastinating,E,-
Productive,C,-
Professional,O,-
Prominent,E,N
Prompt,C,-
Proper,C,-
Prosperous,N,-
Protective,-,-
Proud,C,E
Punctual,C,-
Quiet,E,C
Radical,C,-
Realistic,C,-
Reasonable,C,A
Rebellious,C,A
Reckless,C,-
Relaxed,N,A
Reliable,C,-
Religious,-,-
Remarkable,E,O
Resourceful,O,-
Respectable,C,A
Respected,C,A
Respectful,C,A
Responsible,C,-
Retarded,-,-
Rich,N,-
Ridiculous,C,-
Romantic,E,A
Rough,A,-
Rowdy,C,-
Rude,A,-
Rushed,N,-
Sad,N,-
Sarcastic,A,-
Satisfied,N,A
Scared,N,-
Secure,N,-
Seductive,E,-
Self-assured,N,-
Self-centered,A,-
Self-confident,N,-
Self-conscious,N,-
Self-sufficient,N,C
Self-supporting,N,-
Selfish,A,-
Senile,E,O
Sensible,C,-
Sensitive,A,-
Sentimental,O,-
Serious,C,-
Sexy,E,-
Shallow,O,E
Short,-,-
Short-tempered,A,N
Shy,E,N
Sincere,A,C
Skilled,O,-
Skillful,O,-
Skinny,-,-
Sleepy,N,E
Slender,-,-
Slim,-,-
Sloppy,E,C
Smart,O,-
Snobbish,A,-
Sociable,E,A
Social,E,N
Soft-spoken,A,E
Sophisticated,-,-
Spoiled,-,-
Spontaneous,C,-
Stable,C,N
Stingy,A,-
Straightforward,-,-
Strange,C,-
Strict,C,-
Strong,-,-
Stubborn,A,N
Stuck-up,A,-
Stupid,O,-
Successful,N,C
Superstitious,-,-
Supportive,A,-
Surprised,-,-
Suspicious,N,A
Sweet,E,A
Sympathetic,A,-
Talented,O,-
Talkative,E,-
Tall,-,-
Temperamental,N,A
Tense,N,-
Terrible,O,-
Terrific,E,O
Thankful,A,O
Thin,-,-
Thinking,O,-
Thorough,C,-
Thoughtful,A,-
Thoughtless,E,A
Tiny,-,-
Tired,N,-
Tolerant,A,-
Tough,O,A
Traditional,C,O
Troubled,N,-
Trusted,C,A
Trusting,A,N
Trustworthy,C,-
Truthful,C,-
Unattractive,E,-
Uncomfortable,N,E
Undependable,E,-
Understandable,C,A
Understanding,A,-
Uneducated,O,E
Unemployed,-,-
Unfair,-,-
Unfaithful,-,-
Unforgettable,-,-
Unfriendly,E,A
Ungraceful,E,-
Unhappy,N,E
Uninhibited,N,-
Unlucky,N,E
Unpopular,E,-
Unpredictable,C,-
Unreasonable,A,-
Unreliable,E,-
Unstable,E,C
Unsure,N,E
Unusual,O,C
Upset,N,-
Useful,C,-
Valuable,E,O
Violent,-,-
Warm,A,E
Warm-hearted,A,-
Wasteful,C,-
Weak,E,O
Wealthy,N,E
Weird,C,-
Well,N,-
Well-adjusted,N,C
Well-known,E,N
Well-liked,E,A
Well-to-do,N,-
Wise,O,-
Wishy-washy,E,N
Witty,E,-
Wonderful,E,-
Worthy,O,-
Young,E,-
Youthful,E,-
